Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,lat,lon,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,101 Second Street Garage - Tesla Destination,101 Second St.,,San Francisco,CA,94111.0,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.788097,-122.39918,2024-07-01,113330,2025-02-12 00:16:32 UTC,P,,,2016-06-10,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,101 California Street Garage - Tesla Destination,101 California St,,San Francisco,CA,94111.0,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.792826,-122.397675,2024-07-01,113331,2025-02-12 00:16:32 UTC,P,,,2016-06-08,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,345 California Center Parking Garage - Tesla Destination,115 Battery St,,San Francisco,CA,94111.0,,877-798-3752,E,,Public,,,,,,,1.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,37.792496,-122.39998,2024-07-01,113332,2025-02-12 00:16:32 UTC,P,,,2015-01-27,,,,,TESLA,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,"Hotel Kabuki, a Joie de Vivre Hotel - Tesla Destination",1625 Post St,,San Francisco,CA,94115.0,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.785523,-122.428919,2024-07-01,113333,2025-02-12 00:16:32 UTC,P,,,2015-11-20,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,"Hotel Buchanan, a Kimpton Hotel - Tesla Destination",1800 Sutter St,,San Francisco,CA,94115.0,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.78679,-122.430143,2024-07-01,113334,2025-02-12 00:16:32 UTC,P,,,2015-11-23,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,Loews Regency San Francisco - Tesla Destination,222 Sansome St,,San Francisco,CA,94104.0,,877-798-3752,E,,Public,,,,,,,1.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.792442,-122.401039,2024-07-01,113335,2025-02-12 00:16:32 UTC,P,,,2015-01-22,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,Hilton San Francisco Union Square - Tesla Destination,333 O'Farrell St,,San Francisco,CA,94102.0,,877-798-3752,E,,Public,,,,,,,1.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.786079,-122.410433,2024-07-01,113336,2025-02-12 00:16:32 UTC,P,,,2015-11-02,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,The Westin St. Francis San Francisco on Union Square - Tesla Destination,335 Powell St,,San Francisco,CA,94102.0,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.787828,-122.408731,2024-07-01,113337,2025-02-12 00:16:32 UTC,P,,,2018-10-03,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,Park Central Hotel - Tesla Destination,50 3rd St,,San Francisco,CA,94103.0,,877-798-3752,E,,Public,,,,,,,1.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.78671,-122.402827,2024-07-01,113338,2025-02-12 00:16:32 UTC,P,,,2014-04-04,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,The Ritz-Carlton Hotel San Francisco - Tesla Destination,600 Stockton St,,San Francisco,CA,94108.0,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.791878,-122.407178,2024-07-01,113339,2025-02-12 00:16:32 UTC,P,,,2015-12-08,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,San Francisco Marriott Marquis - Tesla Destination,780 Mission St,,San Francisco,CA,94103.0,,877-798-3752,E,,Public,,,,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.7849,-122.4043,2024-07-01,113340,2025-02-12 00:16:32 UTC,P,,,2015-02-03,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,The Fairmont San Francisco - Tesla Destination,950 Mason St,,San Francisco,CA,94108.0,,877-798-3752,E,,Public,,,,,,,3.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.792496,-122.410035,2024-07-01,113342,2025-02-12 00:16:32 UTC,P,,,2014-12-10,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,InterContinental Mark Hopkins San Francisco - Tesla Destination,999 California St,,San Francisco,CA,94108.0,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,37.791596,-122.410385,2024-07-01,113343,2025-02-12 00:16:32 UTC,P,,,2015-01-22,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,San Francisco Zoo - Tesla Destination,Sloat Blvd & Great Hwy,,San Francisco,CA,94132.0,,877-798-3752,E,,Public,,,,,,,10.0,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,37.73313,-122.505159,2024-07-01,113344,2025-02-12 00:16:32 UTC,P,,,2017-11-20,,,,,J1772 TESLA,US,,,,Public,,public,,,OTHER_ENTERTAINMENT,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,Fairmont Heritage Place Ghirardelli Square - Tesla Destination,900 North Point St Suite D100,,San Francisco,CA,94109.0,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.805388,-122.423418,2024-07-01,122393,2025-02-12 00:16:32 UTC,P,,,2014-11-18,,,,,J1772 TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,Four Embarcadero Center,"Four Embarcadero Center, B Level Parking",,San Francisco,CA,94111.0,,888-998-2546,E,,Public,24 hours daily,,,,,,2.0,,,Blink Network,https://blinkcharging.com,GPS,37.7952,-122.3961,2025-12-12,148555,2025-12-12 00:17:39 UTC,,,,2011-10-05,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$2.00-$6.00/Hr Variable Parking Fee,,,,,,,,,,False,,,,,,,,,False,
ELEC,Two Embarcadero Center,"Two Embarcadero Center, A Level Parking",,San Francisco,CA,94111.0,,888-998-2546,E,,Public,24 hours daily,,,,,,3.0,,,Blink Network,https://blinkcharging.com,GPS,37.7950272,-122.3985003,2025-12-12,148559,2025-12-12 00:17:39 UTC,,,,2012-02-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$2.00-$6.00/Hr Variable Parking Fee,,,,,,,,,,False,,,,,,,,,False,
ELEC,531404  Two Embarcadero Center,"Two Embarcadero Center, A Level Parking",,San Francisco,CA,94111.0,,888-998-2546,E,,Public,24 hours daily,,,,,,6.0,,,Blink Network,https://blinkcharging.com,GPS,37.794454,-122.3985089,2025-12-12,148560,2025-12-12 00:05:42 UTC,,,,2016-06-16,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$2.00-$6.00/Hr Variable Parking Fee,,,,,,,,,,False,,,,,,,,,False,
ELEC,531403  Four Embarcadero Center,Embarcadero Center,,San Francisco,CA,94111.0,,888-998-2546,E,,Public,24 hours daily,,,,,,5.0,,,Blink Network,https://blinkcharging.com,GPS,37.794454,-122.3985089,2025-12-12,148562,2025-12-12 00:05:43 UTC,,,,2015-09-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$0.00-$6.00/Hr Variable Parking Fee,,,,,,,,,,False,,,,,,,,,False,
ELEC,Letterman Digital Arts Center - Tesla Supercharger,1 Letterman Drive,,San Francisco,CA,94129.0,,877-798-3752,E,,Public,7am-12am daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,6.0,,Tesla,https://www.tesla.com/supercharger,200-9,37.798185,-122.448715,2024-07-01,149355,2025-05-06 21:07:47 UTC,P,,,2019-09-30,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,Golden Gate National Recreation Area,,,,False,
ELEC,Golden Gate National Recreation Area - Fort Mason,2 Marina Blvd,,San Francisco,CA,94123.0,,,E,,Public,Park hours; 4 hour limit,,,,,,2.0,,,Non-Networked,,GPS,37.805408,-122.432211,2025-01-13,149458,2025-11-14 17:00:05 UTC,FG,16.0,Department of the Interior,2019-09-01,,,,,J1772,US,,,,Public,,public,,DOI,PARK,,,,,,,,,,,,,,,,,False,,,,,,,,LD,True,
ELEC,Hilton San Francisco Financial District - Tesla Destination,750 Kearny St,,San Francisco,CA,94108.0,,877-798-3752,E,,Public,,,,,,,2.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.795208,-122.404869,2024-07-01,150511,2025-02-12 00:16:32 UTC,P,,,2019-04-24,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,The Masonic - Tesla Destination,1111 California St,,San Francisco,CA,94108.0,,877-798-3752,E,,Public,,,,,,,9.0,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,37.791537,-122.412813,2024-07-01,150598,2025-02-12 00:16:32 UTC,P,,,2019-05-01,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,
ELEC,UCSF - 1630 3rd Garage,1630 3rd St,,San Francisco,CA,94158.0,,650-469-3392,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,19.0,,,POWERFLEX,https://www.powerflex.com,GPS,37.768,-122.39,2025-05-12,150773,2025-05-12 16:15:59 UTC,SG,,,2018-01-01,,,,,J1772,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,PARKING_GARAGE,,,,,,,$0.30 per kWh,,,,,,,,,,False,,,,,,,,LD,False,
ELEC,Third Street Garage,1630 3Rd St,,San Francisco,CA,94158.0,,855-900-7584,E,,Public,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,,,,,,2.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,37.768046,-122.389712,2025-12-12,151242,2025-12-12 03:09:17 UTC,,,,2017-02-10,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,UCSF Parnassus,500 Parnassus Ave,,San Francisco,CA,94143.0,,855-900-7584,E,,Public,Mon: 12:00am-11:59pm; Tue: 12:00am-11:59pm; Wed: 12:00am-11:59pm; Thu: 12:00am-11:59pm; Fri: 12:00am-11:59pm; Sat: 12:00am-11:59pm; Sun: 12:00am-11:59pm,,,,,,2.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,37.764017,-122.458463,2025-12-12,151244,2025-12-12 03:09:18 UTC,,,,2017-11-22,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,Stonestown Galleria Sports Basement,3251 20Th Ave,,San Francisco,CA,94132.0,,855-900-7584,E,,Public,Mon: 6:00am-11:59pm; Tue: 6:00am-11:59pm; Wed: 6:00am-11:59pm; Thu: 6:00am-11:59pm; Fri: 6:00am-11:59pm; Sat: 6:00am-11:59pm; Sun: 6:00am-11:59pm,,,,,,2.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,37.728954,-122.477707,2025-12-12,152860,2025-12-12 03:11:46 UTC,,,,2020-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,531401  201 California Garage,201 California Street,,SF,CA,94111.0,,888-998-2546,E,,Public,24 hours daily,,,,,,5.0,,,Blink Network,https://blinkcharging.com,GPS,37.7930345,-122.3990296,2025-12-12,153138,2025-12-12 00:36:21 UTC,,,,2018-05-04,,,,,J1772,US,,,,Public,,public,,,,,,,,,,FREE,,,,,,,,,,False,,,,,,,,,False,
ELEC,CCSF-SFMTA JCG ANNEX 1,1650 Fillmore St,Garage (Annex),San Francisco,CA,94115.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.784902,-122.432567,2025-12-12,153503,2025-12-12 01:24:05 UTC,,,,2020-02-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,HUDSON PACIFIC 1455 STATION 10,1455 Market Street,Lower level B,San Francisco,CA,94103.0,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.774846,-122.417113,2025-12-12,153713,2025-12-12 01:24:33 UTC,,,,2020-02-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,HUDSON PACIFIC 1455 STATION 9,1455 Market St.,Lower level B,San Francisco,CA,94103.0,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.774854,-122.417127,2025-12-12,153714,2025-12-12 01:24:33 UTC,,,,2020-02-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,625 GARAGE STATION 1,625 2nd St.,,San Francisco,CA,94107.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.781887,-122.390854,2025-12-12,154840,2025-12-12 01:25:11 UTC,,,,2020-03-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,550 KEARNY STATION 1,665 Sacramento St,Inside parking garage ground level,San Francisco,CA,94111.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.793514,-122.404236,2025-12-12,156095,2025-12-12 01:26:05 UTC,,,,2020-05-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,RINCON CENTER RINCON 3,121 Spear St,,San Francisco,CA,94105.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.79186,-122.39286,2025-12-12,156224,2025-12-12 01:27:06 UTC,,,,2020-05-13,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,CCSF-SFMTA CIVIC CTR 6,355 McAllister St,,San Francisco,CA,94102.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.780295,-122.417671,2025-12-12,158776,2025-12-12 01:20:52 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,FAAO CHARGE STATION 2,655 Beach street,Near front main entrance,San Francisco,CA,94109.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.806522,-122.41977,2025-12-12,158821,2025-12-12 01:20:00 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,CHASE CENTER PLAYERS LOT 03,1 Warriors Way,,San Francisco,CA,94158.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.768535,-122.386626,2025-12-12,158860,2025-12-12 01:19:15 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,CCSF-SFMTA MOSCONE CTR 5,255 3rd St,Garage,San Francisco,CA,94103.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.784401,-122.399612,2025-12-12,158878,2025-12-12 01:18:53 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,CCSF-SFMTA SFGH 3,2500 23rd St,Garage,San Francisco,CA,94110.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.754872,-122.405106,2025-12-12,158880,2025-12-12 01:18:52 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,BEACON GARAGE 250 KING ST 4,250 King St,,San Francisco,CA,94107.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.778305,-122.393055,2025-12-12,158929,2025-12-12 01:18:10 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,CCSF-SFMTA SUTTER 1,345 Sutter St,Parking garage level 1,San Francisco,CA,94108.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.78932,-122.406038,2025-12-12,159044,2025-12-12 01:16:33 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,PARKMERCED F0100PMTOWER2G,100 Font Blvd,,San Francisco,CA,94132.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.715233,-122.472778,2025-12-12,159258,2025-12-12 01:12:33 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,450 SOUTH ST EV STATION 06,450 South St,,San Francisco,CA,94158.0,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.769004,-122.388411,2025-12-12,159295,2025-12-12 01:11:44 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,PARKMERCED CH055PMTOWER2G,55 Chumasero Dr,,San Francisco,CA,94132.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.713888,-122.472559,2025-12-12,159296,2025-12-12 01:11:41 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,"LONGFELLOW 1800 6 (67,86)",1800 Owens St,"P2 67,86",San Francisco,CA,94158.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.765729,-122.392587,2025-12-12,159485,2025-12-12 01:08:40 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,UCSF CAMPUS ACC P7 EV2,400 Parnassus Ave,,San Francisco,CA,94143.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.763552,-122.457723,2025-12-12,159545,2025-12-12 01:08:18 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
ELEC,UCSF CAMPUS ACC P5 EV2,400 Parnassus Ave,,San Francisco,CA,94122.0,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,https://www.chargepoint.com,GPS,37.763634,-122.45763,2025-12-12,159546,2025-12-12 01:08:18 UTC,,,,2020-06-12,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
